ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
0,3,0,2,1,81,1,1,0,43,228,1
1,4,0,2,4,120,0,1,1,58,1595,1
2,0,0,0,1,87,2,1,1,47,1754,1
3,1,0,1,2,80,2,2,1,9,173,1
4,2,0,0,1,88,1,2,0,45,1249,1
5,4,0,1,0,66,1,2,0,11,401,1
6,3,0,1,3,154,1,1,0,2,1180,1
7,4,0,2,0,137,0,1,0,47,1432,1
8,0,0,1,3,54,1,1,0,10,831,1
9,1,0,1,1,68,1,2,0,28,183,1
10,2,0,1,3,93,0,2,1,11,1473,1
11,4,0,2,4,136,1,2,0,31,1687,1
12,3,0,1,4,102,1,2,0,0,1924,1
13,4,0,2,3,179,1,0,1,28,1312,1
14,0,0,2,2,56,1,1,1,42,8,1
15,1,0,2,2,131,1,1,0,44,1369,1
16,2,0,1,3,47,0,2,0,5,190,1
17,4,2,3,4,131,1,2,1,35,2095,1
18,3,2,3,4,143,1,0,1,17,1257,1
19,4,2,2,4,49,1,2,1,44,55,1
20,0,2,1,2,65,0,2,0,37,503,1
21,1,2,1,0,136,2,2,0,50,1481,1
22,2,2,0,4,60,0,1,1,1,726,1
23,4,2,2,2,115,1,0,1,11,2079,1
24,3,2,2,4,155,0,2,0,27,1863,1
25,4,2,1,0,129,2,1,1,28,1823,1
26,0,2,2,0,76,1,0,0,23,62,1
27,1,2,3,0,66,1,2,1,30,419,1
28,2,2,0,2,138,2,1,1,43,1623,1
29,4,2,3,3,87,0,1,0,35,2025,1
30,3,2,1,3,170,0,2,0,37,1396,1
31,4,2,3,2,161,0,1,0,60,1731,1
32,0,2,1,0,127,1,1,0,21,2011,1
33,1,2,2,1,138,1,2,1,3,1692,1
34,2,2,2,1,131,2,2,0,21,1236,1
35,4,2,3,3,53,1,2,0,43,784,1
36,3,2,1,4,41,2,0,0,61,459,1
37,4,2,0,3,85,4,2,0,15,1886,1
38,0,2,3,0,119,2,1,0,55,2072,1
39,1,2,2,1,173,3,1,0,44,1188,1
40,2,2,3,0,131,0,1,1,14,2012,1
41,4,2,3,4,43,2,2,1,60,259,1
42,3,2,1,4,41,0,2,1,37,626,1
43,4,2,1,0,78,0,1,1,43,537,1
44,0,2,1,0,55,0,1,1,28,318,1
45,1,2,3,0,114,1,1,0,8,1510,1
46,2,2,1,3,73,2,2,0,31,239,1
47,4,2,3,0,64,0,1,1,31,557,1
48,3,2,3,3,94,0,2,1,8,1985,1
49,4,2,3,2,120,1,1,0,39,1052,1
50,0,2,2,0,87,1,1,1,36,989,1
51,1,2,2,3,45,1,1,1,21,712,1
52,2,2,2,2,69,1,1,0,43,310,1
53,4,2,0,0,74,1,1,1,40,124,1
54,3,2,2,2,107,1,0,1,11,1848,1
55,4,2,0,4,150,3,1,1,45,1219,1
56,0,2,1,2,142,1,1,0,60,1598,1
57,1,2,1,2,97,1,2,0,28,1798,1
58,2,2,3,4,45,1,0,1,40,354,1
59,4,2,2,0,54,1,0,0,16,888,1
60,3,2,1,0,125,1,1,0,63,1427,1
61,4,2,1,2,83,1,2,1,51,154,1
62,0,2,3,0,9,4,2,1,61,284,1
63,1,2,1,0,81,1,2,1,60,850,1
64,2,2,2,4,165,0,0,1,48,1570,1
65,4,2,1,1,106,1,1,1,48,1470,1
66,3,2,1,1,13,1,2,0,14,689,1
67,4,2,1,2,62,1,1,0,5,848,1
68,0,2,2,1,135,2,2,0,5,1264,1
69,1,2,1,4,110,1,2,1,38,1497,1
70,2,2,3,0,91,2,0,1,13,2041,1
71,4,2,3,4,134,0,1,0,1,1106,1
72,3,2,3,4,136,1,2,0,32,1544,1
73,4,2,2,4,119,1,2,0,20,2113,1
74,0,2,4,0,142,4,1,0,12,1223,1
75,1,2,2,0,170,1,1,0,22,1998,1
76,2,2,0,2,62,0,2,0,35,763,1
77,4,2,1,2,17,1,1,0,42,500,1
78,3,2,1,3,127,1,1,1,17,2099,1
79,4,2,1,4,161,0,2,0,55,1955,1
80,0,2,1,3,84,0,2,0,48,906,1
81,1,2,0,4,36,1,1,1,17,734,1
82,2,2,2,3,121,1,0,0,25,1468,1
83,4,2,3,4,66,1,0,0,30,351,1
84,3,2,2,4,101,0,2,0,39,1372,1
85,4,2,1,3,101,1,2,1,12,1053,1
86,0,2,2,0,89,0,1,1,43,1487,1
87,1,2,4,1,182,1,2,0,2,1529,1
88,2,2,1,2,133,1,1,1,48,1166,1
89,4,2,2,0,90,2,2,0,56,2056,1
